open,high,low,close,return,volatility,volume,prev volume,next month return sign
1,1.025595383,1,1.018723236,0.036807027,0.086789748,4398500,4009100,1
1,1.066587617,1,1.066572346,0.076163829,0.141085884,12077600,13004600,0
1,1.044669558,0.972614731,0.972614731,-0.024128408,0.162614756,13119900,12077600,1
1,1.089808932,1,1.089808932,0.09481711,0.14553275,3840600,4485900,0
1,1.032791259,0.970419812,0.995200395,0.012631004,0.19921238,9886800,14313900,0
1,1.000993466,0.938510202,0.968068797,-0.035466855,0.132232591,3148800,2698000,1
1,1.10175198,0.962293419,1.033247724,0.050528422,0.302610081,4485900,5011800,1
1,1.023488795,0.987326762,1.013855256,0.021214048,0.133717958,3616400,3008100,0
1,1,0.919182738,0.95342704,-0.047640839,0.184293663,4585400,3165200,0
1,1.083460771,1,1.061687183,0.07330391,0.15047129,14640200,16778800,1
1,1.00122974,0.960376608,0.985647413,-0.015827456,0.119547634,2846800,3364200,1
1,1.012340534,0.985456614,1.007166191,0.014339645,0.082762283,2931300,4835000,1
1,1.039583531,0.963309058,1.039583531,0.043712405,0.163693427,2725300,2879100,1
1,1,0.940409736,0.952432103,-0.048927905,0.14195529,4389900,4560600,0
1,1,0.946540905,0.962408015,-0.034872799,0.112920072,4741600,5257200,0
1,1.010112133,0.992013112,1.006769987,0.015729695,0.111408985,6516900,6440900,1
1,1.005337741,0.912068907,0.933074252,-0.06541169,0.250639002,3939200,3097900,0
1,1.020268569,0.979098838,0.981366779,-0.019466093,0.130902569,3900400,3826100,1
1,1,0.924603567,0.971612514,-0.028615866,0.231218529,6343200,5658100,0
1,1,0.965554229,0.975207928,-0.010763822,0.121923407,6788000,8645600,0
1,1.008261746,0.973157412,1.001688795,0.000134732,0.101972281,5142500,4499400,0
1,1.06590567,1,1.056070559,0.046415757,0.079333238,4560600,3504400,0
1,1.039918493,1,1.033799674,0.052268741,0.141941161,3619400,4282600,1
1,1.011128221,0.969189673,1.005365132,0.004651445,0.130420953,3430800,3373200,0
1,1.021671841,0.959452078,0.967861686,-0.019656776,0.190207198,5658100,7959500,0
1,1.077594449,1,1.077594449,0.066422002,0.111196964,3853200,2688200,0
1,1,0.960072709,0.980548018,-0.015394153,0.114880287,4168000,3732400,0
1,1.118774714,1,1.111387698,0.108938249,0.142650278,13004600,11602500,1
1,1.028854273,0.952860678,0.952860678,-0.036362455,0.146956416,3108200,3727800,1
1,1,0.911130708,0.943524413,-0.04881448,0.233205487,7030800,5151800,1
1,1.033364471,0.996940024,1.033010179,0.033902268,0.092073093,4541800,2931300,0
1,1.089270934,1,1.089270934,0.084486837,0.123126095,5475300,5514100,1
1,1.038716217,0.970284867,0.983782226,0.000257328,0.168563114,5435500,5499300,0
1,1,0.955987338,0.967045526,-0.036034917,0.143355951,4389100,4389900,1
1,1.031328345,0.990773984,0.997766441,0.01077633,0.184288177,3077100,2725300,0
1,1.072367867,1,1.017362,0.066399799,0.270835952,14313900,13119900,1
1,1.00252271,0.922684761,0.955297312,-0.045221991,0.276861206,5011800,3519500,1
1,1.018861843,0.95082626,1.016891602,0.016104034,0.180545579,8645600,6516900,0
1,1.018902294,1,1.009415846,0.009063619,0.069354641,8079100,9859900,1
1,1.011708533,0.942050069,0.980584539,-0.010861479,0.189376313,12928400,14035500,1
1,1.053901281,1,1.007962537,0.003677827,0.130651193,7651200,6955600,0
1,1.042133926,0.956768475,0.956768475,-0.063962341,0.210594391,10198200,10965400,0
1,1.069411292,1,1.045530538,0.0288831,0.150187266,14035500,14640200,0
1,1.034575435,0.991054274,1.029463591,0.028445407,0.086448851,4923000,4648500,0
1,1.01524253,0.967036482,1.012206049,0.031854685,0.197518025,3384800,3108200,0
1,1.046267066,0.995521231,1.046267066,0.030272865,0.119803856,2481800,3315500,1
1,1.064824359,0.990593893,1.064824359,0.063764088,0.131134432,9859900,9344700,1
1,1.020012377,0.976298641,0.978838333,-0.033879071,0.130582929,3280800,3616400,1
1,1.051660806,0.991833035,1.051660806,0.060431379,0.090268961,4499400,4389100,1
1,1.015691416,0.986963151,1.003562677,-0.002395816,0.111560971,7273800,6533100,0
1,1.051133464,1,1.048258005,0.054643197,0.076916961,4500300,4165300,0
1,1.001853106,0.961597108,0.984109474,-0.002480714,0.209532226,9344700,9886800,1
1,1.194589235,0.979403426,1.194589235,0.144882371,0.473069845,12736300,21303000,0
1,1.03951256,0.984990455,0.993504836,-0.001203944,0.13414231,2879100,3081200,1
1,1.065034289,1,1.065034289,0.07005447,0.102832181,6440900,7139400,1
1,1.017327566,0.989382312,1.017327566,0.017417225,0.107479227,3826100,3321700,0
1,1.040578291,0.999381701,1.037240318,0.041820941,0.093432464,3321700,4193500,1
1,1,0.940969538,0.983651337,-0.022782692,0.200297478,2981700,3077100,0
1,1.100421269,0.993689132,1.079935234,0.077778949,0.157662236,4282600,2672300,1
1,1.025659148,0.976351358,1.011342896,0.015082235,0.132597085,3315500,3619400,1
1,1.006135544,0.987016606,0.990100017,-0.01036263,0.054872327,3558000,4541800,1
1,1.01317854,0.988832438,1.01317854,0.016174175,0.124305682,4193500,4361300,1
1,1.034597222,0.978400294,1.017729692,0.015142497,0.158073137,3538800,4809600,1
1,1.030336371,0.973410055,0.973410055,-0.016132936,0.1630933,3519500,2981700,0
1,1.048060282,0.999823173,1.048060282,0.057063018,0.072826897,3732400,3558000,0
1,1.053733802,0.955269114,1.051716452,0.040756989,0.1977602,7959500,5620100,0
1,1.035550601,0.998434238,1.02417813,0.035220608,0.142293199,5589500,5475300,0
1,1,0.949015636,0.949015636,-0.051806297,0.112072399,3081200,,0
1,1,0.956699681,0.998925215,0.002049162,0.125005646,3026200,2846800,0
1,1,0.944500407,0.992304363,-0.006791523,0.151566658,3156900,3384800,1
